Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,522,499,627,660,882,381,1673,0.0
jmeter_view_issue,18198,198,176,285,321,394,127,2850,0.0
jmeter_view_dashboard,5078,336,323,413,440,493,243,1303,0.0
jmeter_search_jql,5501,580,562,723,761,828,407,5495,0.0
jmeter_open_quick_create,1693,74,70,96,106,127,57,148,0.0
jmeter_view_backlog,2539,377,356,469,553,624,266,2813,0.0
jmeter_create_issue,1693,272,258,347,382,437,201,1240,0.0
jmeter_view_project_summary,1693,547,481,1009,1240,1503,169,1885,0.0
jmeter_open_editor,1692,89,86,104,113,135,70,159,0.0
jmeter_save_edit,1692,345,321,447,510,630,245,1350,0.0
jmeter_browse_projects,1692,56,55,66,70,96,43,140,0.0
jmeter_open_comment,846,76,73,93,105,124,55,183,0.0
jmeter_save_comment,846,190,179,235,264,335,137,433,0.0
jmeter_browse_boards,846,80,78,89,98,122,61,156,0.0
jmeter_view_kanban_board,1269,902,892,1120,1187,1309,448,16828,0.0
jmeter_view_scrum_board,1269,164,158,227,256,309,90,364,0.0
selenium_login:open_login_page,237,103,96,105,113,145,87,1478,0.0
selenium_login:login_and_view_dashboard,237,891,1133,1205,1220,1256,408,4468,0.0
selenium_login,237,995,1230,1303,1328,1352,500,5946,0.0
selenium_browse_projects_list,237,301,299,331,341,367,265,374,0.0
selenium_browse_boards_list,237,326,246,710,752,774,229,4243,0.0
selenium_create_issue:open_quick_create,237,669,668,696,701,723,606,1275,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,237,603,598,603,606,635,588,1653,0.0
selenium_create_issue:fill_and_submit_issue_form,237,1167,1105,1152,1165,3358,1008,3407,0.0
selenium_create_issue,237,1837,1775,1839,1855,3977,1647,4057,0.0
selenium_edit_issue:open_edit_issue_form,237,585,590,624,637,659,440,1447,0.0
selenium_edit_issue:save_edit_issue_form,237,533,528,562,598,634,470,760,0.0
selenium_edit_issue,237,1396,1386,1445,1466,1543,1298,2507,0.0
selenium_save_comment:open_comment_form,237,332,330,380,390,398,218,416,0.0
selenium_save_comment:submit_form,237,755,726,818,863,985,626,3761,0.0
selenium_save_comment,237,1238,1207,1318,1383,1614,1080,4285,0.0
selenium_search_jql,237,1078,1070,1151,1177,1272,550,2123,0.0
selenium_view_scrum_board_backlog,237,551,532,599,817,1174,397,3472,0.0
selenium_view_scrum_board,237,625,415,979,997,1029,265,3057,0.0
selenium_view_kanban_board,237,1253,1259,1665,1760,1879,718,3623,0.0
selenium_view_dashboard,237,374,371,537,585,698,199,837,0.0
selenium_view_issue,237,608,598,655,669,733,435,1976,0.0
selenium_project_summary,237,423,417,480,499,527,288,2252,0.0
selenium_log_out,237,296,291,326,339,372,252,414,0.0
