Summary run status                                 OK
                 
Artifacts dir                                      2021-02-28_23-50-19 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        jira 8.13.3         
Dataset info                                       1067875 issues      
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           2896 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
jmeter_add_comment:open_comment                    100.0               0.068               OK                  
jmeter_add_comment:save_comment                    100.0               0.182               OK                  
jmeter_browse_boards                               100.0               0.069               OK                  
jmeter_browse_projects                             100.0               0.054               OK                  
jmeter_create_issue:fill_and_submit_issue_form     100.0               0.25                OK                  
jmeter_create_issue:open_quick_create              100.0               0.079               OK                  
jmeter_edit_issue:open_editor                      100.0               0.088               OK                  
jmeter_edit_issue:save_edit                        100.0               0.357               OK                  
jmeter_login_and_view_dashboard                    100.0               0.408               OK                  
jmeter_search_jql                                  100.0               0.568               OK                  
jmeter_view_backlog                                100.0               0.329               OK                  
jmeter_view_dashboard                              100.0               0.317               OK                  
jmeter_view_issue                                  100.0               0.204               OK                  
jmeter_view_kanban_board                           100.0               0.242               OK                  
jmeter_view_project_summary                        100.0               0.202               OK                  
jmeter_view_scrum_board                            100.0               0.127               OK                  
selenium_a_login                                   100.0               0.688               OK                  
selenium_browse_boards_list                        100.0               0.331               OK                  
selenium_browse_projects_list                      100.0               0.306               OK                  
selenium_create_issue                              100.0               1.982               OK                  
selenium_edit_issue                                100.0               1.608               OK                  
selenium_save_comment                              100.0               1.369               OK                  
selenium_search_jql                                100.0               1.224               OK                  
selenium_view_backlog_for_scrum_board              100.0               1.132               OK                  
selenium_view_dashboard                            100.0               0.358               OK                  
selenium_view_issue                                100.0               0.685               OK                  
selenium_view_kanban_board                         100.0               0.794               OK                  
selenium_view_project_summary                      100.0               0.457               OK                  
selenium_view_scrum_board                          100.0               0.825               OK                  
selenium_z_log_out                                 100.0               0.353               OK                  
selenium_custom_action                             100.0               0.498               OK                  APP-SPECIFIC        
